               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13338,             0.38274,             0.08551,           0.0001802,          0.00020136,          0.00010482,          2.1625e-05,              0.1314,             0.39081,            0.084839,              0.0928,              0.0008,              0.0008
                   1,             0.13194,              0.3525,            0.084837,           0.0011152,           0.0015952,          0.00056862,          0.00012455,             0.13037,             0.33229,            0.084908,            0.084683,           0.0016832,           0.0016832
                   2,             0.12886,             0.34816,            0.084222,           0.0015903,           0.0020263,          0.00067293,          0.00017421,             0.12827,             0.33195,            0.085022,            0.076549,           0.0025485,           0.0025485
                   3,               0.125,             0.36687,            0.082656,            0.043128,           0.0024524,          0.00065061,          0.00013172,             0.12446,             0.37236,            0.083359,            0.068396,            0.003396,            0.003396
                   4,             0.12055,             0.39434,            0.080595,            0.046169,           0.0040652,           0.0020975,          0.00052782,             0.12043,             0.35758,            0.080666,            0.060226,           0.0042258,           0.0042258
                   5,             0.11668,              0.3921,            0.078934,           0.0058999,           0.0094985,            0.002852,          0.00072539,             0.11933,             0.36723,            0.078712,            0.052038,           0.0050376,           0.0050376
                   6,             0.11259,             0.40387,            0.077601,            0.047661,           0.0092239,           0.0029893,          0.00063757,             0.11208,             0.46644,            0.077805,            0.043832,           0.0058317,           0.0058317
                   7,             0.10994,             0.44295,            0.076506,              0.1348,            0.013292,           0.0047409,            0.001191,             0.11266,              0.4171,            0.076557,            0.035608,            0.006608,            0.006608
                   8,              0.1065,             0.44794,            0.075658,             0.13313,            0.014525,           0.0042696,           0.0011127,             0.10615,             0.54719,            0.076286,            0.027366,           0.0073664,           0.0073664
                   9,             0.10234,             0.47446,            0.075381,              0.1365,            0.015364,           0.0053701,           0.0014625,             0.10808,             0.53834,            0.075932,            0.019107,            0.008107,            0.008107
